Character,Word Count,Sentence Count,Avg Sentence Length,Lexical Diversity,Ego-centric Speech Ratio,Avg Sentiment,Question Ratio,Exclamation Ratio,Avg Word Length,Long Word Ratio,Function Word Ratio,Contraction Ratio,First Person Ratio,Second Person Ratio,Third Person Ratio,Command Word Ratio
Alliser Thorne,1086,115,9.443478260869565,0.5239410681399632,1.0555555555555556,0.0020470543948804816,0.21739130434782608,0.10869565217391304,4.060773480662983,0.11602209944751381,0.2274401473296501,0.049723756906077346,0.01841620626151013,0.0570902394106814,0.03406998158379374,0.02394106813996317
Arya Stark,6448,1233,5.229521492295215,0.2895471464019851,10.413793103448276,0.009668744602848413,0.23243933588761176,0.05491698595146871,3.9844840961986034,0.10162916989914662,0.1934833204034135,0.06656322730799069,0.05865011636927851,0.04934057408844065,0.04003103180760279,0.021877424359968967
Barristan Selmy,258,39,6.615384615384615,0.6937984496124031,4.0,0.03852767602767604,0.0,0.07692307692307693,4.015503875968992,0.1124031007751938,0.24806201550387597,0.023255813953488372,0.03875968992248062,0.05813953488372093,0.05426356589147287,0.011627906976744186
Benjen Stark,258,35,7.371428571428571,0.7054263565891473,5.5,0.06909580498866214,0.07692307692307693,0.0,4.1395348837209305,0.12403100775193798,0.21705426356589147,0.07751937984496124,0.046511627906976744,0.031007751937984496,0.03488372093023256,0.01937984496124031
Beric Dondarrion,3,1,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
Bran Stark,3279,594,5.52020202020202,0.36078072583104603,6.791666666666667,0.013699408989813028,0.18045112781954886,0.06516290726817042,3.960646735814521,0.09731543624161074,0.20896888346552775,0.0726052471018914,0.05857230018303844,0.03569249542403905,0.03965832824893228,0.026235509456985967
Catelyn Stark,3303,472,6.997881355932203,0.3678474114441417,10.352941176470589,0.030408780984787345,0.17192982456140352,0.07017543859649122,3.9100817438692097,0.10172570390554042,0.22373599757795942,0.04087193460490463,0.06388132001211021,0.05449591280653951,0.04874356645473812,0.02603693611867999
Cersei Lannister,14442,1978,7.301314459049545,0.2391635507547431,3.32,0.04504684189018112,0.23681592039800994,0.01791044776119403,4.123509015256588,0.13044382801664356,0.2188626907073509,0.04521497919556172,0.04694868238557559,0.052912621359223304,0.04133148404993065,0.02815533980582524
Daario Naharis,18,2,9.0,0.9444444444444444,0.0,0.0,0.0,0.0,5.666666666666667,0.4444444444444444,0.16666666666666666,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0
Daenerys Targaryen,12358,1727,7.155761436016213,0.23199546852241462,10.0,0.047510762977613,0.2919847328244275,0.01717557251908397,3.9974896752773503,0.11758037088023322,0.21969390234027047,0.03563041541825249,0.06381083488541582,0.05150214592274678,0.036521175803708804,0.02947607093691797
Eddard Stark,3241,511,6.342465753424658,0.38815180499845725,7.714285714285714,0.029001325104554065,0.2622478386167147,0.011527377521613832,4.03363159518667,0.11169392162912681,0.23171860536871336,0.05060166615242209,0.040419623572971304,0.05522986732489972,0.04011107682813946,0.02283245911755631
Euron Greyjoy,1294,178,7.269662921348314,0.490726429675425,7.222222222222222,0.10615172592700682,0.1797752808988764,0.07865168539325842,4.006955177743431,0.11591962905718702,0.2187017001545595,0.05255023183925812,0.05564142194744977,0.04404945904173107,0.02936630602782071,0.012364760432766615
Gilly,1491,259,5.756756756756757,0.44668008048289737,4.75,0.0304765410122553,0.27692307692307694,0.05641025641025641,3.8792756539235413,0.09054325955734406,0.2012072434607646,0.07712944332662643,0.046948356807511735,0.059691482226693494,0.03755868544600939,0.025486250838363516
Grey Worm,1231,164,7.5060975609756095,0.41186027619821286,4.0,0.008103948896631824,0.1206896551724138,0.02586206896551724,3.8943948009748173,0.11454102355808286,0.20389926888708368,0.011372867587327376,0.06904955320877336,0.04305442729488221,0.038180341186027617,0.043866774979691305
Jaime Lannister,11735,1733,6.771494518176572,0.26570089475926717,5.3875,0.039932778242573394,0.19894179894179895,0.033862433862433865,4.101687691783157,0.12453119672690079,0.22101943402659394,0.06060347766791681,0.04389703375383566,0.04807364473235595,0.03767473576542789,0.02199113535629049
Jon Snow,12298,1860,6.611827956989248,0.22930557814278746,4.08029197080292,0.03635792022024741,0.17917034421888792,0.037069726390114736,4.003012293413661,0.10982658959537572,0.21615240576406416,0.06496784173247577,0.05340714809085728,0.042823414475291054,0.037775787674021004,0.025482374012863306
Jorah Mormont,4271,586,7.28839590443686,0.36759541091079373,4.8,0.05366019409108147,0.13385826771653545,0.010498687664041995,4.115429641770077,0.13135097166939827,0.22570826504331537,0.04963708733317724,0.037461952704284714,0.05197845937719504,0.03839850152189183,0.02458440646218684
Loras Tyrell,288,45,6.4,0.6666666666666666,10.0,0.045092592592592594,0.13043478260869565,0.0,3.75,0.08333333333333333,0.2708333333333333,0.06597222222222222,0.041666666666666664,0.052083333333333336,0.027777777777777776,0.03125
Margaery Tyrell,3155,489,6.451942740286299,0.38256735340729003,4.05,0.06708134600005765,0.17557251908396945,0.026717557251908396,3.9987277353689565,0.11736641221374046,0.22264631043256997,0.04611959287531807,0.06424936386768448,0.05566157760814249,0.034033078880407124,0.02480916030534351
Melisandre,3283,461,7.1214750542299345,0.3374961925068535,3.2285714285714286,0.04784343368128618,0.1115702479338843,0.02066115702479339,3.931360585723002,0.09517998779743746,0.2419158023184869,0.03050640634533252,0.041183648566198904,0.06162294081757169,0.03294691885295912,0.0326418547895058
Missandei,1953,244,8.004098360655737,0.41116231438812084,3.9285714285714284,0.07880108165968823,0.12290502793296089,0.0,4.189646335212712,0.14146591491542798,0.22091235263967196,0.018452075858534086,0.03434136340338288,0.057919015889287544,0.05074320861096873,0.023577652485904665
Oberyn Martell,1906,287,6.641114982578397,0.4296956977964323,6.384615384615385,0.021160126410561954,0.25190839694656486,0.030534351145038167,4.061942257217848,0.11811023622047244,0.2057742782152231,0.027821522309711286,0.049868766404199474,0.06771653543307087,0.05301837270341207,0.02152230971128609
Olenna Tyrell,3320,442,7.51131221719457,0.4030120481927711,4.066666666666666,0.0401721657971658,0.27325581395348836,0.005813953488372093,4.153012048192771,0.13072289156626507,0.2216867469879518,0.04397590361445783,0.0427710843373494,0.056325301204819274,0.035542168674698796,0.027409638554216867
Petyr Baelish,7101,941,7.546227417640807,0.3260104210674553,7.05,0.055017643286771875,0.15367483296213807,0.0066815144766146995,4.163797968397291,0.13515801354401805,0.22488713318284426,0.040067720090293454,0.048250564334085776,0.05375282167042889,0.03357787810383747,0.020598194130925507
Qyburn,1321,175,7.548571428571429,0.5208175624526874,21.0,0.04711330653473511,0.1111111111111111,0.0,4.224412433661865,0.13646702047005307,0.2350265352539803,0.03411675511751327,0.0401819560272934,0.045489006823351025,0.0401819560272934,0.02122820318423048
Ramsay Bolton,3229,549,5.881602914389799,0.38401982037782595,4.535714285714286,0.05125764389425591,0.23193916349809887,0.034220532319391636,4.043437790878064,0.10828420726031647,0.19236735960285448,0.056779398076326405,0.0499534595097735,0.06391560657772262,0.030096183679801426,0.023270245113248527
Renly Baratheon,569,69,8.246376811594203,0.6133567662565905,4.0,0.039834943639291465,0.16279069767441862,0.06976744186046512,4.154657293497364,0.12302284710017575,0.2618629173989455,0.040421792618629174,0.028119507908611598,0.033391915641476276,0.043936731107205626,0.012302284710017574
Robb Stark,3625,521,6.957773512476008,0.3580689655172414,3.9782608695652173,0.06444087848598405,0.1830065359477124,0.006535947712418301,4.052994755727298,0.12255037261937621,0.21584322384764007,0.05796301407673199,0.05906707148771736,0.040850124206458734,0.04499033949765388,0.024841291747170854
Robert Baratheon,2396,362,6.6187845303867405,0.43196994991652754,5.421052631578948,0.012514031395246863,0.2542372881355932,0.11864406779661017,3.9307178631051753,0.09265442404006678,0.2278797996661102,0.04674457429048414,0.05008347245409015,0.05133555926544241,0.034641068447412354,0.024624373956594323
Roose Bolton,602,83,7.253012048192771,0.627906976744186,2.857142857142857,0.05367478572297849,0.02127659574468085,0.0,4.325581395348837,0.13953488372093023,0.20930232558139536,0.053156146179401995,0.04318936877076412,0.04983388704318937,0.04983388704318937,0.02159468438538206
Sandor Clegane,2760,471,5.859872611464968,0.4083333333333333,7.416666666666667,-0.006284846316693454,0.21338912133891214,0.02510460251046025,3.980427691192461,0.09278724175425879,0.2000724900326205,0.07321493294671982,0.04276911924610366,0.06632837984777093,0.028271112722000724,0.020659659296846683
Sansa Stark,8135,1225,6.640816326530612,0.2598647818070068,5.3076923076923075,0.02793786445980323,0.24872448979591838,0.03316326530612245,4.005655969506947,0.1137341694331735,0.20078691749661873,0.05803516537563015,0.06602729620066396,0.0516414607156031,0.04561662363211607,0.03393581704168203
Stannis Baratheon,3674,552,6.655797101449275,0.3772455089820359,6.6521739130434785,0.028640409007256833,0.23986486486486486,0.016891891891891893,4.061714909885309,0.12179137083560895,0.21654833424358275,0.04997269251774986,0.0496996176952485,0.05188421627525942,0.03959584926269798,0.02594210813762971
Theon Greyjoy,5054,815,6.20122699386503,0.3146022952117135,7.243243243243243,0.005438734039194164,0.14505494505494507,0.06813186813186813,3.9381810976817913,0.09550227858133545,0.20170398256389935,0.05884683970675649,0.06439468991480087,0.0501287893798296,0.04121260154547256,0.025361600951060034
Tyrion Lannister,26009,3420,7.604970760233918,0.20669768157176363,5.747524752475248,0.04385618895022873,0.2005681818181818,0.01534090909090909,4.098329098329098,0.1325171325171325,0.22838222838222838,0.04677754677754678,0.05316855316855317,0.0425040425040425,0.03291753291753292,0.023947023947023947
Tywin Lannister,5493,758,7.246701846965699,0.3449845257600583,3.641025641025641,0.0388063827113959,0.2887139107611549,0.01837270341207349,4.157319737800437,0.13729060451565914,0.2518208302986162,0.03623452294246176,0.02986161689730517,0.05644573925710124,0.03295702840495266,0.028040786598689003
Varys,6397,733,8.727148703956344,0.34297326871971234,4.065573770491803,0.04167035026516609,0.20215633423180593,0.0,4.117959949937422,0.13704630788485608,0.23326032540675845,0.03097622027534418,0.044274092615769714,0.04536921151439299,0.030663329161451813,0.018617021276595744
Viserys Targaryen,775,124,6.25,0.52,55.0,0.050449628776241685,0.25,0.15384615384615385,3.775483870967742,0.08903225806451613,0.21806451612903227,0.04258064516129032,0.08645161290322581,0.05161290322580645,0.04774193548387097,0.023225806451612905
Yara Greyjoy,1840,263,6.996197718631179,0.4342391304347826,2.1875,0.01071049646382346,0.16551724137931034,0.020689655172413793,3.991304347826087,0.10271739130434783,0.2016304347826087,0.0641304347826087,0.050543478260869565,0.057065217391304345,0.027717391304347826,0.023369565217391305
