Character,Word Count,Sentence Count,Avg Sentence Length,Lexical Diversity,Ego-centric Speech Ratio,Avg Sentiment
Alliser Thorne,1086,115,9.443478260869565,0.5239410681399632,1.0555555555555556,0.0020470543948804816
Arya Stark,6448,1233,5.229521492295215,0.2895471464019851,10.413793103448276,0.009668744602848413
Barristan Selmy,258,39,6.615384615384615,0.6937984496124031,4.0,0.03852767602767604
Benjen Stark,258,35,7.371428571428571,0.7054263565891473,5.5,0.06909580498866214
Beric Dondarrion,3,1,3.0,1.0,0.0,0.0
Bran Stark,3279,594,5.52020202020202,0.36078072583104603,6.791666666666667,0.013699408989813028
Catelyn Stark,3303,472,6.997881355932203,0.3678474114441417,10.352941176470589,0.030408780984787345
Cersei Lannister,14442,1978,7.301314459049545,0.2391635507547431,3.32,0.04504684189018112
Daario Naharis,18,2,9.0,0.9444444444444444,0.0,0.0
Daenerys Targaryen,12358,1727,7.155761436016213,0.23199546852241462,10.0,0.047510762977613
Eddard Stark,3241,511,6.342465753424658,0.38815180499845725,7.714285714285714,0.029001325104554065
Euron Greyjoy,1294,178,7.269662921348314,0.490726429675425,7.222222222222222,0.10615172592700682
Gilly,1491,259,5.756756756756757,0.44668008048289737,4.75,0.0304765410122553
Grey Worm,1231,164,7.5060975609756095,0.41186027619821286,4.0,0.008103948896631824
Jaime Lannister,11735,1733,6.771494518176572,0.26570089475926717,5.3875,0.039932778242573394
Jon Snow,12298,1860,6.611827956989248,0.22930557814278746,4.08029197080292,0.03635792022024741
Jorah Mormont,4271,586,7.28839590443686,0.36759541091079373,4.8,0.05366019409108147
Loras Tyrell,288,45,6.4,0.6666666666666666,10.0,0.045092592592592594
Margaery Tyrell,3155,489,6.451942740286299,0.38256735340729003,4.05,0.06708134600005765
Melisandre,3283,461,7.1214750542299345,0.3374961925068535,3.2285714285714286,0.04784343368128618
Missandei,1953,244,8.004098360655737,0.41116231438812084,3.9285714285714284,0.07880108165968823
Oberyn Martell,1906,287,6.641114982578397,0.4296956977964323,6.384615384615385,0.021160126410561954
Olenna Tyrell,3320,442,7.51131221719457,0.4030120481927711,4.066666666666666,0.0401721657971658
Petyr Baelish,7101,941,7.546227417640807,0.3260104210674553,7.05,0.055017643286771875
Qyburn,1321,175,7.548571428571429,0.5208175624526874,21.0,0.04711330653473511
Ramsay Bolton,3229,549,5.881602914389799,0.38401982037782595,4.535714285714286,0.05125764389425591
Renly Baratheon,569,69,8.246376811594203,0.6133567662565905,4.0,0.039834943639291465
Robb Stark,3625,521,6.957773512476008,0.3580689655172414,3.9782608695652173,0.06444087848598405
Robert Baratheon,2396,362,6.6187845303867405,0.43196994991652754,5.421052631578948,0.012514031395246863
Roose Bolton,602,83,7.253012048192771,0.627906976744186,2.857142857142857,0.05367478572297849
Sandor Clegane,2760,471,5.859872611464968,0.4083333333333333,7.416666666666667,-0.006284846316693454
Sansa Stark,8135,1225,6.640816326530612,0.2598647818070068,5.3076923076923075,0.02793786445980323
Stannis Baratheon,3674,552,6.655797101449275,0.3772455089820359,6.6521739130434785,0.028640409007256833
Theon Greyjoy,5054,815,6.20122699386503,0.3146022952117135,7.243243243243243,0.005438734039194164
Tyrion Lannister,26009,3420,7.604970760233918,0.20669768157176363,5.747524752475248,0.04385618895022873
Tywin Lannister,5493,758,7.246701846965699,0.3449845257600583,3.641025641025641,0.0388063827113959
Varys,6397,733,8.727148703956344,0.34297326871971234,4.065573770491803,0.04167035026516609
Viserys Targaryen,775,124,6.25,0.52,55.0,0.050449628776241685
Yara Greyjoy,1840,263,6.996197718631179,0.4342391304347826,2.1875,0.01071049646382346
